x,y,z,yaw,velocity,lookahead
0,0.0,0.0,3.14,8.0,3
1,0.0,0.0,3.14,8.0,3
2,0.0,0.0,3.14,8.0,3
3,0.0,0.0,3.14,8.0,3
4,0.0,0.0,3.14,8.0,3
5.0,0,0.0,3.14,8.0,3
7.1794494717703365,-0.5,0.0,3.14,8.0,3
8.0,-1.0,0.0,3.14,8.0,3
8.570714214271426,-1.5,0.0,3.14,8.0,3
9.0,-2.0,0.0,3.14,8.0,3
9.330127018922195,-2.5,0.0,3.14,8.0,3
9.582575694955839,-3.0,0.0,3.14,8.0,3
9.769696007084729,-3.5,0.0,3.14,8.0,3
9.898979485566356,-4.0,0.0,3.14,8.0,3
9.9749371855331,-4.5,0.0,3.14,8.0,3
10.0,-5.0,0.0,3.14,8.0,3
10.0,-5.5,0.0,3.14,8.0,3.5
10.0,-6.0,0.0,3.14,8.0,4.0
10.0,-6.5,0.0,3.14,8.0,4.5
10.0,-7.0,0.0,3.14,8.0,5.0
10.0,-7.5,0.0,3.14,8.0,5.5
10.0,-8.0,0.0,3.14,8.0,6.0
10.0,-8.5,0.0,3.14,8.0,6.5
10.0,-9.0,0.0,3.14,8.0,7.0
10.0,-9.5,0.0,3.14,8.0,7.5
10.0,-10.0,0.0,3.14,8.0,8.0
10.0,-10.5,0.0,3.14,8.0,8.5
10.0,-11.0,0.0,3.14,8.0,9.0
10.0,-11.5,0.0,3.14,8.0,9.5
10.0,-12.0,0.0,3.14,8.0,10
10.0,-12.5,0.0,3.14,8.0,10
10.0,-13.0,0.0,3.14,8.0,10
10.0,-13.5,0.0,3.14,8.0,10
10.0,-14.0,0.0,3.14,8.0,10
10.0,-14.5,0.0,3.14,8.0,10
10.0,-15.0,0.0,3.14,8.0,3
10.0,-15.5,0.0,3.14,8.0,3
10.0,-16.0,0.0,3.14,8.0,3
10.0,-16.5,0.0,3.14,8.0,3
10.0,-17.0,0.0,3.14,8.0,3
10.0,-17.5,0.0,3.14,8.0,3
10.0,-17.5,0.0,3.14,8.0,3
10.0250628144669,-18.0,0.0,3.14,8.0,3
10.101020514433644,-18.5,0.0,3.14,8.0,3
10.230303992915271,-19.0,0.0,3.14,8.0,3
10.417424305044161,-19.5,0.0,3.14,8.0,3
10.669872981077805,-20.0,0.0,3.14,8.0,3
11.0,-20.5,0.0,3.14,8.0,3
11.429285785728574,-21.0,0.0,3.14,8.0,3
12.0,-21.5,0.0,3.14,8.0,3
12.820550528229663,-22.0,0.0,3.14,8.0,3
15.0,-22.5,0.0,3.14,8.0,3
15,-22.5,0.0,3.14,8.0,3
16,-22.5,0.0,3.14,8.0,3
17,-22.5,0.0,3.14,8.0,3
18,-22.5,0.0,3.14,8.0,3
19,-22.5,0.0,3.14,8.0,3
20,-22.5,0.0,3.14,8.0,3
